policy,matrix,status,total_cycles,initial_residual,final_residual,relative_solution_error,componentwise_backward_error,ir_iterations,full_fp64_rescue_nodes,fraction_retry_nodes,precision_assisted_nodes,factor_relative_error
baseline_v2_f20,256,ok,178625,5.963766966125211e-4,5.963766966125211e-4,1.5141711796055781,3.7742760770064836e-7,0,68,0,0,1.8589415735527684e-9
baseline_v2_f20,576,ok,1693321,1.2285304750348624e-3,3.251547599222430e-4,6.934327804434421,9.370245299872297e-8,1,150,0,0,2.026599333202311e-9
baseline_v2_f20,1024,ok,8722424,2.1821811012577865,1.0121379559405618e-4,3.000407800722303e-8,4.6222805960418215e-5,2,122,0,0,3.203234061464019e-8
uniform_f26,256,ok,179858,1.088504387506849e-3,7.095760626843902e-5,1.7415394459340514e-1,7.769946292435661e-8,1,9,0,0,1.815003630285930e-9
uniform_f26,576,ok,1686076,3.0243285940029067e-4,3.0243285940029067e-4,5.540337123992507e-1,1.392355628638473e-7,0,37,0,0,2.0239388183014178e-9
uniform_f26,1024,ok,7237984,2.986572259170823e-1,2.8158221787338458e-5,1.2926402456723342e-6,1.2001475305047378e-5,1,49,0,0,3.5948851258768953e-9
adaptive_f20_f26,256,ok,182462,4.656452555282881e-3,5.517035171113230e-4,1.2157157760712483,3.446399872670231e-7,1,9,66,59,1.8592829775530457e-9
adaptive_f20_f26,576,ok,1694797,1.1007917119017488e-3,4.4890088315035706e-4,2.836175813473361,2.3482332516755317e-7,1,37,137,113,2.0266592926358855e-9
adaptive_f20_f26,1024,ok,8291797,2.1798283796429962,9.056420297055450e-5,2.6542152500571756e-6,4.180464643107838e-5,2,46,122,77,3.205524833573865e-8
