matrix,variant,equilibration,residual,initial_residual,solution_error,backward_error,rescue_nodes,ir_iterations,total_cycles
256,B0,pow2-row,0.0005376890350577937,0.014734420581453848,2.9043179094048983,1.544051661602228e-07,2,2,176774
256,B1,pow2-row-column,0.0006408114229281787,0.013093649913768953,1.9291693930941543,2.819103901281041e-07,2,1,175098
256,B2,pow2-ruiz,0.000451709726215769,0.0037284668846309277,0.5997761446578341,9.678576695515503e-07,2,1,175108
576,B0,pow2-row,0.023463606802612145,0.023463606802612145,2.3619973584842673,8.345819901302701e-06,13,0,1687907
576,B1,pow2-row-column,0.004593448288824188,0.017656038380282072,0.9579626575251055,2.598572188459475e-06,13,2,1700662
576,B2,pow2-ruiz,0.011201315503842194,0.016552320420674744,2.913865251191189,1.9665795601996558e-05,12,5,1708862
1024,B0,pow2-row,0.000943438798427584,31.770385273255556,0.001394291327131088,0.00013777413395393465,1,40,7393107
1024,B1,pow2-row-column,0.0009730131165917114,30.71359399632056,0.0014362872880869283,0.00014179287596526797,1,39,7378043
1024,B2,pow2-ruiz,0.00039159776177601454,0.11598336155568165,0.00909411780454241,0.00034618359357544614,1,1,6805637
