matrix,variant,bfp_tile_size,q_use_bits,workspace_guard_bits,factor_check_tol,residual,initial_residual,solution_error,backward_error,rescue_nodes,ir_iterations,factor_error,total_cycles
256,v1_B1_scalar,0,26,8,,0.0006408114229281787,0.013093649913768953,1.9291693930941543,2.819103901281041e-07,2,1,,175098
256,v2_tile,16,30,20,2e-7,0.0005963766966125211,0.0005963766966125211,1.5141711796055781,3.7742760770064836e-07,68,0,1.8589415735527684e-09,178625
576,v1_B1_scalar,0,26,8,,0.004593448288824188,0.017656038380282072,0.9579626575251055,2.598572188459475e-06,13,2,,1700662
576,v2_tile,16,30,20,2e-7,0.000325154759922243,0.0012285304750348624,6.934327804434421,9.370245299872297e-08,150,1,2.026599333202311e-09,1693321
1024,v1_B1_scalar,0,26,8,,0.0009730131165917114,30.71359399632056,0.0014362872880869283,0.00014179287596593465,1,39,,7378043
1024,v2_tile,16,30,20,2e-7,0.00010121379559405618,2.1821811012577865,3.000407800722303e-08,4.6222805960418215e-05,122,2,3.203234061464019e-08,8722424
